Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,23,3,"energy demand, 0.1561, 1, 2 ; social norms, 0.1194, 2, 6 ; meet energy, 0.0885, 1, 1 ; future energy, 0.0865, 1, 1 ; energy saving, 0.0702, 2, 4",0.4444,1.0,energy demand ; social norms ; meet energy ; future energy ; energy saving
sci,24,1,"springer nature, 0.2127, 1, 1 ; distributed energy, 0.2080, 1, 1 ; power supply, 0.1762, 1, 1 ; power transmission, 0.1561, 1, 1 ; large scale, 0.1265, 0, 0",0.9333,1.0,springer nature ; distributed energy ; power supply ; power transmission ; large scale
sci,25,5,"renewable energy, 0.1096, 4, 7 ; renewable energy island, 0.1049, 3, 3 ; island samsø, 0.0813, 3, 3 ; science technology, 0.0615, 1, 1 ; based energy, 0.0513, 0, 0",0.5733,1.0,renewable energy ; renewable energy island ; island samsø ; science technology ; based energy
sci,26,12,"energy security, 0.1033, 5, 13 ; paper introduces, 0.0534, 2, 2 ; sustainability transitions, 0.0419, 1, 6 ; energy sector, 0.0376, 4, 5 ; 2024 authors, 0.0358, 2, 2",0.2556,1.0,energy security ; paper introduces ; sustainability transitions ; energy sector ; 2024 authors
sci,27,3,"multi objective, 0.1016, 0, 0 ; objective optimization, 0.0721, 3, 4 ; multi objective optimization, 0.0721, 0, 0 ; power hub, 0.0553, 2, 5 ; heat recovery, 0.0533, 2, 3",0.4,1.0,multi objective ; objective optimization ; multi objective optimization ; power hub ; heat recovery
sci,28,9,"vsc hvdc, 0.0698, 0, 0 ; power network, 0.0472, 1, 3 ; energy islanded, 0.0445, 1, 2 ; reactive power, 0.0415, 2, 10 ; power compensation, 0.0351, 1, 4",0.0889,0.0,vsc hvdc ; power network ; energy islanded ; reactive power ; power compensation
sci,29,2,"simulations performed, 0.4994, 1, 1 ; 2011 ieee, 0.1783, 1, 1 ; proposed system, 0.1648, 1, 1 ; real time, 0.1518, 1, 1",0.5,1.0,simulations performed ; 2011 ieee ; proposed system ; real time
sci,30,11,"reactive power, 0.0388, 8, 24 ; offshore ac, 0.0278, 6, 13 ; offshore ac grid, 0.0221, 5, 8 ; wind power plants, 0.0220, 7, 13 ; control scheme, 0.0199, 3, 8",0.5818,1.0,reactive power ; offshore ac ; offshore ac grid ; wind power plants ; control scheme
sci,31,29,"dc grid, 0.0210, 8, 18 ; continental shelf, 0.0128, 2, 2 ; wind farms, 0.0126, 12, 17 ; high voltage, 0.0126, 6, 9 ; wind power, 0.0108, 12, 20",0.2483,1.0,dc grid ; continental shelf ; wind farms ; high voltage ; wind power
sci,32,46,"multi terminal, 0.0103, 0, 0 ; voltage source, 0.0096, 13, 13 ; terminal hvdc, 0.0095, 9, 11 ; hvdc grids, 0.0092, 5, 10 ; hvdc offshore, 0.0088, 6, 8",0.1377,0.0,multi terminal ; voltage source ; terminal hvdc ; hvdc grids ; hvdc offshore
