Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,46,23,-0.79003066,0.76141953,"renewable energy, 0.0369, 9, 16 ; energy hubs, 0.0277, 4, 15 ; offshore grids, 0.0263, 5, 8 ; offshore energy hubs, 0.0248, 4, 13 ; offshore energy, 0.0246, 5, 16",0.2373,1.0,renewable energy ; energy hubs ; offshore grids ; offshore energy hubs ; offshore energy
sci,47,22,-0.18690547,-0.5058883,"sustainable energy, 0.0765, 6, 14 ; energy consumption, 0.0608, 3, 11 ; energy islands, 0.0541, 5, 5 ; future energy, 0.0445, 1, 1 ; rights reserved, 0.0393, 6, 6",0.197,0.0,sustainable energy ; energy consumption ; energy islands ; future energy ; rights reserved
sci,48,1,6.7039876,-0.65510243,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1878, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
sci,49,1,6.844443,-0.6468488,"island energy, 0.3833, 1, 1 ; results show, 0.3404, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
sci,50,40,-0.50968295,-0.46516347,"renewable energy, 0.0814, 30, 54 ; energy systems, 0.0553, 12, 18 ; energy system, 0.0497, 22, 50 ; elsevier ltd, 0.0367, 16, 16 ; energy sources, 0.0341, 13, 18",0.515,1.0,renewable energy ; energy systems ; energy system ; elsevier ltd ; energy sources
sci,51,1,6.7601466,-0.637283,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
sci,52,12,-1.189538,-0.38921285,"energy island, 0.0798, 10, 13 ; energy sources, 0.0488, 5, 7 ; simulation results, 0.0380, 2, 2 ; energy storage, 0.0377, 4, 6 ; renewable energy sources, 0.0335, 4, 5",0.4513,1.0,energy island ; energy sources ; simulation results ; energy storage ; renewable energy sources
sci,53,23,-2.9109814,1.5253187,"paper presents, 0.0496, 8, 8 ; offshore grids, 0.0396, 6, 6 ; simulation results, 0.0373, 5, 5 ; onshore grid, 0.0373, 6, 7 ; grid forming, 0.0327, 2, 2",0.2696,1.0,paper presents ; offshore grids ; simulation results ; onshore grid ; grid forming
sci,54,9,-0.68263984,-0.4872429,"energy systems, 0.1461, 3, 3 ; energy production, 0.1052, 4, 4 ; energy island, 0.0771, 7, 14 ; renewable energy, 0.0599, 4, 4 ; support energy, 0.0512, 3, 3",0.4667,1.0,energy systems ; energy production ; energy island ; renewable energy ; support energy
sci,55,1,-1.6211629,0.701369,"power plant, 0.6370, 1, 5 ; power generation, 0.1555, 1, 1 ; power system, 0.1344, 1, 1 ; energy island, 0.0407, 1, 1",1.0,1.0,power plant ; power generation ; power system ; energy island
