Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,47,6,"gas station, 0.0461, 1, 1 ; around bornholm, 0.0369, 1, 1 ; district heating, 0.0330, 1, 1 ; mikael benzon, 0.0319, 2, 4 ; chresten andersen, 0.0296, 2, 3",0.2,0.0,gas station ; around bornholm ; district heating ; mikael benzon ; chresten andersen
reg,48,1,"business fund, 0.1684, 1, 25 ; companies received, 0.1058, 1, 15 ; bornholm business fund, 0.1057, 1, 15 ; dkk million, 0.0943, 0, 0 ; bornholm business, 0.0519, 1, 15",0.8667,1.0,business fund ; companies received ; bornholm business fund ; dkk million ; bornholm business
reg,49,1,"skilled workers, 0.2358, 1, 1 ; recent years, 0.2062, 1, 1 ; labor market, 0.2010, 1, 1 ; many people, 0.1866, 1, 1 ; among things, 0.1030, 1, 1",1.0,1.0,skilled workers ; recent years ; labor market ; many people ; among things
reg,50,7,"corporate tax, 0.0742, 1, 17 ; dkk million, 0.0463, 0, 0 ; 000 kroner, 0.0362, 2, 14 ; savings catalog, 0.0342, 2, 15 ; tax revenue, 0.0270, 1, 8",0.1524,0.0,corporate tax ; dkk million ; 000 kroner ; savings catalog ; tax revenue
reg,51,28,"energy islands bornholm, 0.0201, 24, 143 ; islands bornholm, 0.0201, 24, 143 ; energy islands, 0.0168, 25, 178 ; think tank, 0.0113, 10, 16 ; 10 million, 0.0109, 3, 14",0.7476,1.0,energy islands bornholm ; islands bornholm ; energy islands ; think tank ; 10 million
reg,52,8,"business park, 0.0390, 6, 15 ; bornholm future, 0.0332, 1, 1 ; unique opportunity, 0.0305, 4, 7 ; development energy, 0.0242, 1, 1 ; municipal council, 0.0236, 5, 10",0.4417,1.0,business park ; bornholm future ; unique opportunity ; development energy ; municipal council
reg,53,24,"business park, 0.0227, 16, 78 ; søren schow, 0.0201, 9, 57 ; social democracy, 0.0192, 14, 78 ; food school, 0.0188, 7, 32 ; ole sonne, 0.0170, 1, 11",0.4806,1.0,business park ; søren schow ; social democracy ; food school ; ole sonne
reg,54,4,"people meeting, 0.1727, 0, 0 ; anne thomas, 0.0509, 2, 12 ; national assembly, 0.0453, 1, 1 ; rené danielsson, 0.0359, 1, 11 ; social democracy, 0.0310, 2, 17",0.25,1.0,people meeting ; anne thomas ; national assembly ; rené danielsson ; social democracy
reg,55,3,"trefor el, 0.0681, 2, 6 ; trefor el net, 0.0681, 0, 0 ; el net, 0.0647, 0, 0 ; energy agency, 0.0581, 2, 4 ; danish energy agency, 0.0581, 2, 4",0.3556,1.0,trefor el ; trefor el net ; el net ; energy agency ; danish energy agency
sci,0,10,"distribution system, 0.0474, 3, 6 ; power network, 0.0424, 1, 3 ; transmission grid, 0.0415, 4, 21 ; energy islanded, 0.0400, 1, 2 ; harmonic distortion, 0.0313, 3, 10",0.24,1.0,distribution system ; power network ; transmission grid ; energy islanded ; harmonic distortion
sci,1,14,"low cost, 0.0203, 3, 3 ; diode rectifier, 0.0192, 5, 5 ; high voltage, 0.0162, 3, 3 ; fault ride, 0.0162, 5, 6 ; mtdc grid, 0.0155, 1, 1",0.2619,1.0,low cost ; diode rectifier ; high voltage ; fault ride ; mtdc grid
sci,2,1,"hainan island, 0.8048, 1, 5 ; clean energy, 0.1239, 1, 1 ; energy island, 0.0537, 1, 1",1.0,1.0,hainan island ; clean energy ; energy island
sci,3,13,"energy storage, 0.0468, 7, 14 ; renewable energy, 0.0402, 9, 15 ; energy island, 0.0352, 11, 24 ; wave energy, 0.0196, 1, 5 ; energy conversion, 0.0192, 2, 2",0.5538,1.0,energy storage ; renewable energy ; energy island ; wave energy ; energy conversion
sci,4,19,"grid north sea, 0.0236, 5, 6 ; grid north, 0.0228, 6, 9 ; north sea, 0.0213, 9, 15 ; planning model, 0.0172, 1, 1 ; economic benefits, 0.0162, 1, 1",0.2772,1.0,grid north sea ; grid north ; north sea ; planning model ; economic benefits
sci,5,14,"offshore wind, 0.0364, 14, 42 ; wind power, 0.0305, 6, 25 ; wind farm, 0.0233, 11, 26 ; floating wind, 0.0221, 2, 7 ; wind energy, 0.0220, 6, 12",0.6524,1.0,offshore wind ; wind power ; wind farm ; floating wind ; wind energy
sci,6,5,"low inertia, 0.0436, 3, 3 ; control loop, 0.0405, 2, 5 ; microgrid system, 0.0382, 2, 4 ; frequency voltage, 0.0381, 3, 6 ; power reference, 0.0345, 2, 5",0.4933,1.0,low inertia ; control loop ; microgrid system ; frequency voltage ; power reference
sci,7,25,"energy island, 0.0266, 11, 22 ; offshore energy, 0.0205, 6, 12 ; cost savings, 0.0200, 3, 3 ; co2 emission, 0.0178, 3, 5 ; wastewater treatment, 0.0175, 1, 1",0.2533,1.0,energy island ; offshore energy ; cost savings ; co2 emission ; wastewater treatment
sci,8,7,"heat recovery, 0.0362, 2, 5 ; operational flexibility, 0.0347, 3, 5 ; high power, 0.0252, 0, 0 ; systems offshore, 0.0246, 1, 1 ; green hydrogen, 0.0240, 3, 4",0.2571,1.0,heat recovery ; operational flexibility ; high power ; systems offshore ; green hydrogen
sci,9,22,"hydrogen production, 0.0428, 12, 26 ; green hydrogen, 0.0308, 10, 18 ; energy hub, 0.0177, 8, 19 ; offshore energy, 0.0175, 8, 16 ; energy system, 0.0164, 10, 23",0.4545,1.0,hydrogen production ; green hydrogen ; energy hub ; offshore energy ; energy system
sci,10,2,"barrier islands, 0.2377, 1, 7 ; fetch limited, 0.1698, 0, 0 ; wave energy, 0.0973, 2, 2 ; energy north, 0.0871, 1, 1 ; 2022 elsevier ltd, 0.0800, 1, 1",0.4667,1.0,barrier islands ; fetch limited ; wave energy ; energy north ; 2022 elsevier ltd
sci,11,18,"sustainable energy, 0.0410, 5, 13 ; energy demand, 0.0353, 3, 4 ; energy community, 0.0304, 1, 4 ; taking account, 0.0251, 2, 2 ; energy communities, 0.0247, 3, 8",0.1741,0.0,sustainable energy ; energy demand ; energy community ; taking account ; energy communities
sci,12,9,"operation cost, 0.0247, 3, 3 ; energy sources, 0.0238, 4, 5 ; energy management, 0.0224, 3, 3 ; control algorithms, 0.0196, 2, 4 ; management system, 0.0184, 3, 4",0.3481,1.0,operation cost ; energy sources ; energy management ; control algorithms ; management system
sci,13,1,"model established, 0.1410, 1, 1 ; first time, 0.1368, 1, 1 ; 2022 elsevier ltd, 0.1298, 1, 1 ; 2022 elsevier, 0.1270, 1, 1 ; two different, 0.1206, 1, 1",1.0,1.0,model established ; first time ; 2022 elsevier ltd ; 2022 elsevier ; two different
sci,14,1,"low energy, 0.4004, 1, 1 ; high energy, 0.2542, 0, 0 ; island energy, 0.1240, 1, 1 ; energy island, 0.1188, 1, 2 ; results show, 0.0797, 1, 1",0.7333,1.0,low energy ; high energy ; island energy ; energy island ; results show
sci,15,38,"renewable energy, 0.0272, 26, 48 ; energy system, 0.0222, 22, 53 ; energy systems, 0.0194, 13, 19 ; electricity demand, 0.0141, 5, 8 ; cost electricity, 0.0119, 4, 7",0.4754,1.0,renewable energy ; energy system ; energy systems ; electricity demand ; cost electricity
sci,16,1,"al 111, 0.2579, 0, 0 ; cu al, 0.2579, 0, 0 ; cu al 111, 0.2579, 0, 0 ; cu 111, 0.2006, 0, 0 ; elsevier ltd, 0.0100, 1, 1",0.0667,0.0,al 111 ; cu al ; cu al 111 ; cu 111 ; elsevier ltd
sci,17,8,"2017 ieee, 0.0794, 1, 1 ; energy island, 0.0414, 7, 9 ; low voltage, 0.0264, 1, 2 ; distribution network, 0.0263, 2, 4 ; 2022 ieee, 0.0218, 2, 2",0.35,1.0,2017 ieee ; energy island ; low voltage ; distribution network ; 2022 ieee
sci,18,22,"black start, 0.0185, 1, 4 ; grid forming, 0.0157, 2, 2 ; reactive power compensation, 0.0142, 1, 4 ; power compensation, 0.0142, 1, 4 ; dc system, 0.0116, 4, 12",0.0667,0.0,black start ; grid forming ; reactive power compensation ; power compensation ; dc system
