cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
71,0,0,11,"sustainable energy, 0.1556, 2, 2 ; energy islands, 0.1438, 5, 7 ; local community, 0.0545, 1, 1 ; results show, 0.0413, 2, 2 ; rights reserved, 0.0363, 2, 2",0.2364,1.0,sustainable energy ; energy islands ; local community ; results show ; rights reserved
72,0,0,3,"five years, 0.2827, 1, 2 ; power plant, 0.2106, 1, 5 ; sustainable energy, 0.1092, 1, 1 ; energy island, 0.0890, 3, 3 ; energy sources, 0.0863, 1, 1",0.4222,1.0,five years ; power plant ; sustainable energy ; energy island ; energy sources
73,0,0,1,"important role, 0.2577, 1, 1 ; power supply, 0.2440, 1, 1 ; power transmission, 0.2389, 1, 1 ; large scale, 0.1661, 0, 0 ; energy island, 0.0625, 0, 0",0.8,1.0,important role ; power supply ; power transmission ; large scale ; energy island
74,0,3,4,"renewable energy, 0.1308, 6, 15 ; create new, 0.0558, 1, 1 ; wind farm, 0.0555, 1, 3 ; sustainable energy, 0.0519, 1, 1 ; make sense, 0.0346, 1, 1",0.381,1.0,renewable energy ; create new ; wind farm ; sustainable energy ; make sense
75,0,0,3,"co2 emissions, 0.1263, 2, 3 ; power supply, 0.1001, 2, 2 ; environmental impact, 0.0995, 2, 2 ; oil gas, 0.0962, 2, 2 ; case study, 0.0929, 2, 2",0.6667,1.0,co2 emissions ; power supply ; environmental impact ; oil gas ; case study
76,0,0,8,"vsc hvdc, 0.2019, 0, 0 ; reactive power, 0.1241, 2, 10 ; new energy, 0.0578, 3, 10 ; converter station, 0.0556, 2, 8 ; hvdc system, 0.0543, 3, 6",0.2,0.0,vsc hvdc ; reactive power ; new energy ; converter station ; hvdc system
77,0,0,7,"energy security, 0.2432, 5, 13 ; energy policy, 0.0949, 3, 3 ; european countries, 0.0829, 2, 3 ; case study, 0.0661, 3, 3 ; energy sector, 0.0582, 2, 2",0.4857,1.0,energy security ; energy policy ; european countries ; case study ; energy sector
78,0,0,12,"reactive power, 0.0862, 8, 24 ; offshore ac, 0.0555, 6, 13 ; wind power, 0.0476, 9, 20 ; wind power plants, 0.0439, 7, 13 ; active power, 0.0348, 9, 31",0.6333,1.0,reactive power ; offshore ac ; wind power ; wind power plants ; active power
79,0,0,28,"dc grid, 0.0447, 8, 18 ; power transmission, 0.0349, 6, 8 ; paper presents, 0.0296, 6, 6 ; power system, 0.0249, 9, 14 ; wind farms, 0.0240, 12, 17",0.2667,1.0,dc grid ; power transmission ; paper presents ; power system ; wind farms
80,0,0,46,"multi terminal, 0.0297, 0, 0 ; vsc hvdc, 0.0289, 2, 3 ; voltage source, 0.0280, 13, 13 ; offshore grids, 0.0242, 12, 14 ; offshore ac, 0.0206, 6, 11",0.1116,0.0,multi terminal ; vsc hvdc ; voltage source ; offshore grids ; offshore ac
81,0,0,4,"dc grid, 0.1409, 2, 3 ; power system, 0.1131, 3, 6 ; multi terminal, 0.1082, 0, 0 ; dc voltage, 0.0895, 1, 1 ; large scale, 0.0776, 0, 0",0.4,1.0,dc grid ; power system ; multi terminal ; dc voltage ; large scale
82,0,0,7,"long term, 0.1497, 1, 2 ; vsc hvdc, 0.0629, 1, 2 ; case study, 0.0533, 4, 4 ; north sea offshore, 0.0530, 3, 3 ; offshore grid, 0.0506, 5, 5",0.3048,1.0,long term ; vsc hvdc ; case study ; north sea offshore ; offshore grid
83,0,0,11,"offshore grid, 0.0964, 10, 16 ; offshore wind, 0.0496, 7, 17 ; power system, 0.0495, 2, 3 ; cost effective, 0.0409, 2, 2 ; wind farms, 0.0356, 5, 6",0.5636,1.0,offshore grid ; offshore wind ; power system ; cost effective ; wind farms
84,1,0,8,"offshore wind, 0.1071, 8, 39 ; offshore wind energy, 0.1040, 5, 12 ; wind energy, 0.0842, 5, 14 ; north sea, 0.0484, 5, 7 ; oil gas, 0.0406, 3, 3",0.6519,1.0,offshore wind ; offshore wind energy ; wind energy ; north sea ; oil gas
85,0,0,18,"ac grid, 0.0365, 2, 7 ; offshore grid, 0.0340, 13, 19 ; grid forming, 0.0284, 0, 0 ; offshore wind power, 0.0268, 8, 10 ; paper proposes, 0.0251, 5, 6",0.3074,1.0,ac grid ; offshore grid ; grid forming ; offshore wind power ; paper proposes
86,5,0,18,"north sea, 0.0406, 16, 36 ; offshore wind, 0.0300, 15, 40 ; renewable energy, 0.0271, 12, 16 ; offshore grid, 0.0257, 14, 23 ; offshore grids, 0.0190, 5, 7",0.6058,1.0,north sea ; offshore wind ; renewable energy ; offshore grid ; offshore grids
87,0,0,15,"offshore grid, 0.0874, 13, 20 ; offshore wind, 0.0675, 12, 26 ; wind farm, 0.0403, 7, 11 ; expansion planning, 0.0390, 4, 8 ; north sea, 0.0337, 7, 7",0.6622,1.0,offshore grid ; offshore wind ; wind farm ; expansion planning ; north sea
88,0,0,5,"energy consumption, 0.2210, 2, 7 ; energy system, 0.1187, 1, 2 ; results show, 0.0708, 1, 1 ; energy sources, 0.0466, 1, 2 ; energy hub, 0.0428, 1, 1",0.2667,1.0,energy consumption ; energy system ; results show ; energy sources ; energy hub
89,0,0,2,"real time, 0.4978, 1, 1",0.5,1.0,real time
90,0,0,9,"large scale, 0.0764, 1, 1 ; transmission system, 0.0724, 3, 9 ; offshore wind, 0.0530, 6, 12 ; vsc hvdc, 0.0428, 1, 1 ; power flow, 0.0413, 2, 5",0.2889,1.0,large scale ; transmission system ; offshore wind ; vsc hvdc ; power flow
91,2,1,30,"offshore grid, 0.1417, 25, 59 ; north sea, 0.0627, 18, 40 ; cross border, 0.0172, 0, 0 ; electricity infrastructure, 0.0170, 2, 2 ; transmission system, 0.0169, 6, 8",0.4182,1.0,offshore grid ; north sea ; cross border ; electricity infrastructure ; transmission system
92,0,0,3,"offshore grids, 0.2545, 3, 3 ; simulation results, 0.2269, 2, 2 ; paper presents, 0.2122, 2, 2 ; grid forming, 0.0448, 1, 1 ; meshed offshore, 0.0429, 1, 1",0.7111,1.0,offshore grids ; simulation results ; paper presents ; grid forming ; meshed offshore
93,0,0,1,"rights reserved, 0.6974, 1, 1 ; energy islands, 0.2791, 0, 0",0.6667,1.0,rights reserved ; energy islands
94,0,0,2,"feasibility study, 0.3502, 2, 2 ; power grid, 0.3292, 2, 2 ; natural gas, 0.3168, 2, 2",1.0,1.0,feasibility study ; power grid ; natural gas
95,1,0,2,"offshore grid, 0.3726, 1, 1 ; long term, 0.1235, 0, 0 ; energy projects, 0.0743, 1, 4 ; elsevier ltd, 0.0738, 1, 1 ; rights reserved, 0.0639, 1, 1",0.2444,1.0,offshore grid ; long term ; energy projects ; elsevier ltd ; rights reserved
