cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
71,0,1,14,"energy island, 0.0897, 7, 19 ; even though, 0.0467, 1, 1 ; energy conversion, 0.0447, 3, 3 ; renewable energy, 0.0391, 7, 9 ; offshore energy, 0.0323, 5, 13",0.2978,1.0,energy island ; even though ; energy conversion ; renewable energy ; offshore energy
72,0,0,4,"energy consumption, 0.1033, 2, 2 ; vsc hvdc, 0.1010, 0, 0 ; wind power, 0.0638, 1, 5 ; results show, 0.0563, 1, 1 ; hvdc grid, 0.0541, 1, 5",0.2667,1.0,energy consumption ; vsc hvdc ; wind power ; results show ; hvdc grid
73,2,0,3,"island energy, 0.0554, 1, 1 ; energy system, 0.0529, 2, 3 ; green electricity, 0.0501, 1, 1 ; elsevier ltd, 0.0452, 1, 1 ; paris agreement, 0.0450, 2, 7",0.2667,1.0,island energy ; energy system ; green electricity ; elsevier ltd ; paris agreement
74,0,0,3,"transmission grid, 0.3997, 3, 20 ; 400 kv, 0.1861, 3, 8 ; transmission system, 0.0523, 3, 3 ; case study, 0.0358, 2, 2 ; energy consumption, 0.0287, 2, 2",0.9333,1.0,transmission grid ; 400 kv ; transmission system ; case study ; energy consumption
75,0,0,4,"energy islands, 0.2342, 1, 1 ; wave energy, 0.1361, 1, 3 ; wind energy, 0.1149, 2, 7 ; renewable energy, 0.1118, 3, 8 ; storage system, 0.0523, 1, 2",0.3667,1.0,energy islands ; wave energy ; wind energy ; renewable energy ; storage system
76,0,0,27,"renewable energy, 0.0516, 19, 24 ; energy system, 0.0512, 10, 28 ; sustainable energy, 0.0390, 5, 13 ; energy sources, 0.0315, 8, 8 ; energy transition, 0.0278, 7, 8",0.4272,1.0,renewable energy ; energy system ; sustainable energy ; energy sources ; energy transition
77,1,1,27,"offshore grid, 0.0236, 16, 21 ; north sea, 0.0229, 10, 18 ; renewable energy, 0.0213, 9, 19 ; energy systems, 0.0188, 5, 7 ; energy security, 0.0173, 2, 6",0.3655,1.0,offshore grid ; north sea ; renewable energy ; energy systems ; energy security
78,0,0,2,"energy efficiency, 0.1254, 2, 2 ; support energy, 0.1234, 2, 2 ; transition energy, 0.1222, 2, 2 ; energy transition, 0.1203, 2, 2 ; decision making, 0.1185, 0, 0",0.9333,1.0,energy efficiency ; support energy ; transition energy ; energy transition ; decision making
79,0,0,24,"energy islands, 0.0612, 11, 15 ; energy systems, 0.0594, 7, 10 ; energy system, 0.0461, 8, 14 ; rights reserved, 0.0385, 4, 4 ; energy consumption, 0.0371, 1, 6",0.3222,1.0,energy islands ; energy systems ; energy system ; rights reserved ; energy consumption
80,0,0,3,"energy systems, 0.4449, 3, 3 ; energy island, 0.2735, 2, 4 ; development energy, 0.0895, 1, 1 ; among others, 0.0840, 1, 1 ; long time, 0.0820, 1, 1",0.6444,1.0,energy systems ; energy island ; development energy ; among others ; long time
81,0,0,28,"energy storage, 0.0357, 7, 9 ; reactive power, 0.0313, 5, 6 ; power systems, 0.0277, 7, 8 ; hvdc system, 0.0254, 5, 10 ; control strategy, 0.0224, 3, 10",0.2119,1.0,energy storage ; reactive power ; power systems ; hvdc system ; control strategy
82,0,0,14,"offshore wind, 0.0394, 11, 24 ; offshore grid, 0.0378, 11, 15 ; wind farms, 0.0265, 4, 11 ; north sea, 0.0256, 10, 17 ; wind farm, 0.0254, 4, 18",0.6429,1.0,offshore wind ; offshore grid ; wind farms ; north sea ; wind farm
83,0,0,12,"oil gas, 0.0904, 6, 7 ; offshore grid, 0.0866, 5, 6 ; co2 emissions, 0.0687, 4, 7 ; rights reserved, 0.0438, 3, 3 ; results show, 0.0427, 2, 2",0.3889,1.0,oil gas ; offshore grid ; co2 emissions ; rights reserved ; results show
84,0,0,18,"offshore grid, 0.0588, 13, 36 ; wind power, 0.0561, 8, 34 ; offshore wind power, 0.0365, 7, 20 ; power system, 0.0354, 8, 15 ; offshore wind, 0.0354, 15, 47",0.5519,1.0,offshore grid ; wind power ; offshore wind power ; power system ; offshore wind
85,0,0,3,"electricity prices, 0.2437, 1, 1 ; potential energy, 0.1156, 2, 2 ; support energy, 0.1138, 2, 2 ; renewable energy sources, 0.0916, 2, 2 ; energy islands, 0.0905, 2, 6",0.5556,1.0,electricity prices ; potential energy ; support energy ; renewable energy sources ; energy islands
86,0,0,20,"multi terminal, 0.0313, 0, 0 ; offshore grid, 0.0300, 12, 19 ; planned offshore, 0.0287, 2, 3 ; high voltage, 0.0275, 5, 8 ; dc grid, 0.0266, 5, 19",0.23,1.0,multi terminal ; offshore grid ; planned offshore ; high voltage ; dc grid
87,0,0,20,"energy storage, 0.0611, 7, 16 ; results show, 0.0357, 5, 5 ; simulation results, 0.0318, 3, 3 ; wave energy, 0.0308, 3, 7 ; energy system, 0.0304, 3, 7",0.2433,1.0,energy storage ; results show ; simulation results ; wave energy ; energy system
88,1,0,20,"offshore grids, 0.0492, 9, 14 ; offshore grid, 0.0475, 15, 32 ; offshore wind, 0.0241, 11, 25 ; north sea, 0.0230, 10, 17 ; meshed offshore, 0.0213, 5, 6",0.5175,1.0,offshore grids ; offshore grid ; offshore wind ; north sea ; meshed offshore
89,0,0,5,"offshore wind, 0.1192, 4, 14 ; offshore wind energy, 0.1182, 3, 9 ; wind energy, 0.1029, 3, 11 ; north sea, 0.0947, 4, 5 ; rights reserved, 0.0782, 3, 3",0.6933,1.0,offshore wind ; offshore wind energy ; wind energy ; north sea ; rights reserved
