cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
53,0,0,3,"danish energy, 0.1424, 3, 3 ; paper proposes, 0.1325, 2, 2 ; waste heat, 0.1212, 1, 1 ; energy island bornholm, 0.1096, 2, 2 ; paper presents, 0.1028, 1, 1",0.6889,1.0,danish energy ; paper proposes ; waste heat ; energy island bornholm ; paper presents
54,2,0,19,"hydrogen production, 0.0762, 13, 27 ; green hydrogen, 0.0631, 11, 21 ; energy system, 0.0288, 7, 17 ; offshore energy, 0.0217, 4, 6 ; hydrogen produced, 0.0215, 4, 6",0.4508,1.0,hydrogen production ; green hydrogen ; energy system ; offshore energy ; hydrogen produced
55,0,0,15,"energy systems, 0.1001, 6, 10 ; energy system, 0.0686, 7, 12 ; power systems, 0.0583, 5, 5 ; energy island, 0.0570, 9, 12 ; results show, 0.0438, 6, 6",0.4311,1.0,energy systems ; energy system ; power systems ; energy island ; results show
56,1,0,27,"energy system, 0.0671, 16, 37 ; elsevier ltd, 0.0607, 13, 13 ; energy transition, 0.0406, 8, 9 ; sustainable energy, 0.0363, 4, 11 ; climate crisis, 0.0307, 1, 1",0.3929,1.0,energy system ; elsevier ltd ; energy transition ; sustainable energy ; climate crisis
57,0,0,15,"voltage direct current, 0.0312, 7, 10 ; high voltage direct, 0.0312, 4, 5 ; power supply, 0.0312, 2, 3 ; offshore grid, 0.0308, 13, 18 ; dc voltage, 0.0305, 2, 6",0.3778,1.0,voltage direct current ; high voltage direct ; power supply ; offshore grid ; dc voltage
58,0,0,6,"sustainable energy, 0.0877, 4, 5 ; energy production, 0.0684, 2, 3 ; renewable energy sources, 0.0656, 3, 3 ; district heating, 0.0553, 1, 4 ; energy planning, 0.0524, 2, 2",0.4556,1.0,sustainable energy ; energy production ; renewable energy sources ; district heating ; energy planning
59,0,0,1,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1880, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
60,0,0,3,"transmission grid, 0.3879, 3, 20 ; 400 kv, 0.1808, 3, 8 ; transmission system, 0.0503, 3, 3 ; case study, 0.0338, 2, 2 ; energy consumption, 0.0287, 2, 2",0.9333,1.0,transmission grid ; 400 kv ; transmission system ; case study ; energy consumption
61,3,0,3,"million ton, 0.1353, 1, 1 ; construction work, 0.0481, 2, 2 ; united states, 0.0412, 1, 1 ; wave energy, 0.0411, 1, 1 ; short term, 0.0401, 1, 1",0.2111,1.0,million ton ; construction work ; united states ; wave energy ; short term
62,0,0,1,"island energy, 0.3834, 1, 1 ; results show, 0.3405, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
63,0,0,1,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
64,0,0,16,"energy island, 0.0508, 8, 8 ; energy resources, 0.0405, 4, 5 ; paper proposes, 0.0404, 3, 3 ; simulation results, 0.0375, 3, 3 ; power system, 0.0363, 4, 7",0.3125,1.0,energy island ; energy resources ; paper proposes ; simulation results ; power system
65,2,0,3,"kriegers flak, 0.1073, 5, 15 ; reactive power, 0.0512, 2, 5 ; offshore wind power, 0.0303, 3, 4 ; meshed offshore, 0.0262, 2, 2 ; electricity market, 0.0226, 3, 6",0.6533,1.0,kriegers flak ; reactive power ; offshore wind power ; meshed offshore ; electricity market
66,0,0,6,"energy production, 0.1589, 4, 4 ; support energy, 0.0955, 3, 3 ; renewable energy sources, 0.0771, 3, 3 ; energy islands, 0.0612, 4, 9 ; potential energy, 0.0593, 2, 2",0.5667,1.0,energy production ; support energy ; renewable energy sources ; energy islands ; potential energy
67,0,0,21,"hvdc converter, 0.0563, 8, 15 ; hvdc system, 0.0404, 5, 10 ; offshore wind power, 0.0375, 8, 10 ; offshore hvdc, 0.0357, 5, 8 ; paper presents, 0.0353, 5, 5",0.3143,1.0,hvdc converter ; hvdc system ; offshore wind power ; offshore hvdc ; paper presents
68,0,0,2,"energy systems, 0.5550, 2, 2 ; energy island, 0.4207, 2, 4",1.0,1.0,energy systems ; energy island
