Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,38,13,"ion implantation, 0.0620, 1, 7 ; smart grid, 0.0494, 1, 1 ; inter array, 0.0287, 0, 0 ; power compensation, 0.0242, 1, 4 ; reactive power compensation, 0.0242, 1, 4",0.0615,0.0,ion implantation ; smart grid ; inter array ; power compensation ; reactive power compensation
sci,39,17,"black start, 0.0240, 1, 4 ; circuit breakers, 0.0219, 5, 8 ; offshore wind, 0.0189, 14, 21 ; offshore grid, 0.0184, 11, 21 ; wind turbines, 0.0152, 6, 9",0.3725,1.0,black start ; circuit breakers ; offshore wind ; offshore grid ; wind turbines
sci,40,5,"offshore power, 0.0453, 1, 2 ; grid frequency, 0.0383, 1, 3 ; control algorithms, 0.0371, 2, 2 ; simulation tool, 0.0359, 2, 2 ; dc offshore, 0.0348, 2, 2",0.28,1.0,offshore power ; grid frequency ; control algorithms ; simulation tool ; dc offshore
sci,41,3,"mw wind, 0.0632, 2, 4 ; wind integration, 0.0612, 1, 1 ; present paper, 0.0570, 1, 1 ; paper focuses, 0.0554, 1, 1 ; wind generation, 0.0457, 2, 3",0.4667,1.0,mw wind ; wind integration ; present paper ; paper focuses ; wind generation
sci,42,19,"energy demand, 0.0343, 4, 5 ; renewable energy, 0.0316, 13, 28 ; energy islands, 0.0284, 7, 7 ; fossil fuel, 0.0238, 5, 5 ; energy sources, 0.0210, 7, 12",0.386,1.0,energy demand ; renewable energy ; energy islands ; fossil fuel ; energy sources
sci,43,5,"north seas, 0.0487, 3, 4 ; offshore wind, 0.0392, 2, 8 ; wind development, 0.0356, 1, 1 ; legal framework, 0.0340, 1, 2 ; analysis shows, 0.0334, 1, 1",0.3867,1.0,north seas ; offshore wind ; wind development ; legal framework ; analysis shows
sci,44,15,"north sea, 0.0234, 10, 21 ; wind power, 0.0227, 10, 22 ; offshore wind energy, 0.0133, 3, 5 ; wind farm, 0.0129, 4, 6 ; offshore wind, 0.0127, 11, 22",0.5244,1.0,north sea ; wind power ; offshore wind energy ; wind farm ; offshore wind
sci,45,10,"wastewater treatment, 0.0308, 1, 5 ; heat recovery, 0.0252, 2, 5 ; operational flexibility, 0.0242, 3, 5 ; electricity hydrogen, 0.0183, 3, 4 ; integer linear programming, 0.0176, 4, 4",0.2133,1.0,wastewater treatment ; heat recovery ; operational flexibility ; electricity hydrogen ; integer linear programming
sci,46,3,"continental shelf, 0.1131, 1, 1 ; design criteria, 0.1067, 1, 6 ; connected wind, 0.1038, 1, 1 ; high voltage, 0.0878, 2, 4 ; wind farms, 0.0626, 2, 3",0.4,1.0,continental shelf ; design criteria ; connected wind ; high voltage ; wind farms
sci,47,9,"sea level, 0.0221, 1, 1 ; offshore wind, 0.0220, 5, 16 ; energy prices, 0.0215, 1, 1 ; wind power, 0.0199, 4, 9 ; european energy, 0.0192, 1, 1",0.2741,1.0,sea level ; offshore wind ; energy prices ; wind power ; european energy
