Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,8,1,7.711361,7.869438,"says morten, 0.0487, 2, 6 ; oil gas, 0.0487, 2, 8 ; construction project, 0.0301, 3, 6 ; energy island north, 0.0295, 1, 3 ; island north sea, 0.0277, 1, 3",0.5,1.0,says morten ; oil gas ; construction project ; energy island north ; island north sea
reg,9,11,8.372598,5.91792,"wind turbines, 0.0179, 12, 59 ; land facilities, 0.0178, 2, 3 ; transformer station, 0.0147, 5, 23 ; 15 kilometers, 0.0115, 3, 4 ; energy policy, 0.0111, 2, 5",0.3792,1.0,wind turbines ; land facilities ; transformer station ; 15 kilometers ; energy policy
reg,11,2,8.283093,6.510216,"electricity grid, 0.0357, 2, 21 ; per cent, 0.0251, 2, 5 ; last year, 0.0197, 3, 7 ; build new, 0.0186, 1, 1 ; turbines solar cells, 0.0176, 0, 0",0.2148,1.0,electricity grid ; per cent ; last year ; build new ; turbines solar cells
reg,12,5,9.64146,5.4633226,"green hydrogen, 0.0360, 7, 22 ; electrolysis plant, 0.0222, 5, 8 ; natural gas, 0.0205, 3, 16 ; hydrogen produced, 0.0161, 5, 7 ; cip foundation, 0.0144, 1, 10",0.3333,1.0,green hydrogen ; electrolysis plant ; natural gas ; hydrogen produced ; cip foundation
reg,13,4,6.9045653,4.937506,"submarine cable, 0.0483, 1, 10 ; net east, 0.0357, 1, 2 ; five years, 0.0233, 2, 5 ; 400 kv, 0.0201, 1, 3 ; power plant, 0.0199, 1, 7",0.24,1.0,submarine cable ; net east ; five years ; 400 kv ; power plant
reg,14,19,7.7318363,7.9755306,"business center bornholm, 0.0376, 8, 38 ; press release, 0.0370, 6, 13 ; skilled workers, 0.0346, 2, 8 ; rønne harbor, 0.0197, 6, 22 ; bornholm companies, 0.0170, 7, 21",0.3123,1.0,business center bornholm ; press release ; skilled workers ; rønne harbor ; bornholm companies
reg,15,10,9.541889,5.9331546,"million tonnes, 0.0212, 2, 10 ; gas station, 0.0208, 5, 9 ; green fuels, 0.0189, 8, 26 ; district heating, 0.0164, 7, 20 ; baltic sea, 0.0153, 10, 34",0.2364,1.0,million tonnes ; gas station ; green fuels ; district heating ; baltic sea
reg,16,9,8.928012,6.4817567,"thomas bendtsen, 0.0257, 1, 5 ; 15 kilometers, 0.0177, 5, 7 ; danish energy agency, 0.0176, 5, 20 ; energy islands bornholm, 0.0174, 8, 31 ; west coast, 0.0169, 2, 3",0.3515,1.0,thomas bendtsen ; 15 kilometers ; danish energy agency ; energy islands bornholm ; west coast
reg,17,11,7.516489,5.5578313,"district heating, 0.0198, 6, 11 ; climate friendly, 0.0196, 0, 0 ; wind turbines, 0.0132, 10, 31 ; wide range, 0.0119, 3, 3 ; climate council, 0.0118, 1, 9",0.2978,1.0,district heating ; climate friendly ; wind turbines ; wide range ; climate council
reg,18,8,8.861206,6.8903284,"danish energy agency, 0.0208, 5, 29 ; wind turbines, 0.0206, 6, 26 ; environmental assessment, 0.0190, 4, 11 ; rønne harbor, 0.0155, 1, 5 ; energy islands bornholm, 0.0154, 8, 31",0.4733,1.0,danish energy agency ; wind turbines ; environmental assessment ; rønne harbor ; energy islands bornholm
reg,19,14,7.7476134,8.222786,"bornholm electricity grid, 0.0250, 7, 23 ; electricity prices, 0.0223, 3, 7 ; niels chresten andersen, 0.0182, 1, 9 ; foreign connections, 0.0114, 3, 5 ; danish government, 0.0093, 1, 1",0.2111,1.0,bornholm electricity grid ; electricity prices ; niels chresten andersen ; foreign connections ; danish government
