cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
35,2,39,0,"baltic energy, 0.0156, 18, 54 ; baltic energy island, 0.0150, 17, 51 ; rønne harbor, 0.0146, 17, 41 ; united states, 0.0115, 2, 8 ; green transition, 0.0082, 17, 38",0.374,1.0,baltic energy ; baltic energy island ; rønne harbor ; united states ; green transition
36,1,8,0,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental, 0.0276, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental
37,0,16,0,"municipal council, 0.0383, 12, 45 ; savings catalog, 0.0316, 7, 22 ; next year, 0.0292, 10, 31 ; 000 kroner, 0.0262, 5, 20 ; social democracy, 0.0241, 8, 39",0.5667,1.0,municipal council ; savings catalog ; next year ; 000 kroner ; social democracy
38,0,3,0,"cultural identity, 0.2394, 3, 19 ; young people, 0.0657, 1, 6 ; starting point, 0.0398, 1, 2 ; lag bornholm, 0.0365, 2, 3 ; bornholm many, 0.0231, 0, 0",0.5778,1.0,cultural identity ; young people ; starting point ; lag bornholm ; bornholm many
39,0,2,0,"henrik espersen, 0.1581, 2, 12 ; nuclear power, 0.0615, 1, 6 ; offshore wind, 0.0453, 2, 17 ; wind turbines, 0.0433, 2, 10 ; offshore wind turbines, 0.0427, 2, 7",0.8667,1.0,henrik espersen ; nuclear power ; offshore wind ; wind turbines ; offshore wind turbines
40,0,34,0,"young people, 0.0198, 6, 25 ; labor market, 0.0190, 6, 10 ; green transition, 0.0123, 14, 36 ; municipal council, 0.0097, 12, 29 ; island also, 0.0088, 2, 2",0.2392,1.0,young people ; labor market ; green transition ; municipal council ; island also
41,0,11,0,"anne thomas, 0.1003, 8, 77 ; social democracy, 0.0739, 11, 61 ; top candidate, 0.0604, 7, 33 ; says anne thomas, 0.0351, 4, 26 ; says anne, 0.0340, 4, 26",0.7091,1.0,anne thomas ; social democracy ; top candidate ; says anne thomas ; says anne
42,2,16,0,"nuclear power, 0.0389, 2, 45 ; says peter, 0.0184, 3, 11 ; energy agency, 0.0171, 6, 26 ; general meeting, 0.0160, 3, 6 ; danish energy agency, 0.0158, 5, 24",0.1889,0.0,nuclear power ; says peter ; energy agency ; general meeting ; danish energy agency
43,0,17,0,"plan strategy, 0.0175, 2, 30 ; niels chresten, 0.0142, 1, 6 ; niels chresten andersen, 0.0142, 1, 6 ; chresten andersen, 0.0142, 1, 6 ; regional municipality, 0.0133, 8, 13",0.1059,0.0,plan strategy ; niels chresten ; niels chresten andersen ; chresten andersen ; regional municipality
44,0,4,0,"local plan, 0.1157, 1, 1 ; green business, 0.0927, 3, 14 ; large scale, 0.0849, 0, 0 ; green business park, 0.0581, 3, 10 ; business park, 0.0470, 3, 10",0.4333,1.0,local plan ; green business ; large scale ; green business park ; business park
45,0,4,0,"food school, 0.1244, 4, 29 ; søren schow, 0.0750, 4, 25 ; business park, 0.0711, 4, 28 ; heidi burgedahl, 0.0414, 4, 12 ; municipal council, 0.0398, 4, 19",1.0,1.0,food school ; søren schow ; business park ; heidi burgedahl ; municipal council
46,1,36,0,"energy islands bornholm, 0.0125, 26, 85 ; islands bornholm, 0.0125, 26, 85 ; baltic sea, 0.0121, 18, 36 ; gas station, 0.0110, 5, 7 ; electric cars, 0.0107, 2, 10",0.5405,1.0,energy islands bornholm ; islands bornholm ; baltic sea ; gas station ; electric cars
47,3,30,0,"offshore wind, 0.0278, 32, 251 ; bornholm offshore wind, 0.0270, 6, 8 ; bornholm offshore, 0.0263, 6, 8 ; offshore wind farm, 0.0142, 28, 97 ; open door, 0.0136, 9, 33",0.5394,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; offshore wind farm ; open door
48,0,0,7,"even though, 0.1012, 1, 1 ; energy island, 0.0993, 6, 12 ; elsevier ltd, 0.0774, 2, 2 ; wave energy, 0.0723, 1, 2 ; real time, 0.0651, 0, 0",0.3524,1.0,even though ; energy island ; elsevier ltd ; wave energy ; real time
49,0,1,21,"wave energy, 0.1071, 4, 11 ; renewable energy, 0.0879, 14, 28 ; energy conversion, 0.0472, 2, 2 ; energy energy, 0.0398, 0, 0 ; wind energy, 0.0345, 4, 9",0.2606,1.0,wave energy ; renewable energy ; energy conversion ; energy energy ; wind energy
50,0,0,3,"energy island, 0.3229, 3, 3 ; wind power, 0.0878, 1, 5 ; energy consumption, 0.0802, 1, 1 ; results show, 0.0764, 1, 1 ; rights reserved, 0.0650, 1, 1",0.5556,1.0,energy island ; wind power ; energy consumption ; results show ; rights reserved
51,0,0,6,"new energy, 0.1289, 4, 4 ; control strategy, 0.1168, 2, 3 ; reactive power, 0.0782, 3, 4 ; grid frequency, 0.0553, 2, 3 ; power grid, 0.0536, 2, 2",0.4778,1.0,new energy ; control strategy ; reactive power ; grid frequency ; power grid
52,0,0,14,"offshore energy, 0.0810, 8, 26 ; energy hubs, 0.0798, 7, 21 ; offshore energy hubs, 0.0628, 5, 17 ; oil gas, 0.0400, 4, 7 ; energy hub, 0.0391, 10, 31",0.481,1.0,offshore energy ; energy hubs ; offshore energy hubs ; oil gas ; energy hub
