cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
67,0,0,7,"offshore grid, 0.0851, 4, 5 ; power system, 0.0644, 1, 2 ; offshore wind, 0.0622, 6, 10 ; offshore hvdc, 0.0528, 2, 2 ; offshore wind power, 0.0498, 3, 3",0.4667,1.0,offshore grid ; power system ; offshore wind ; offshore hvdc ; offshore wind power
68,0,0,2,"real time, 0.4978, 1, 1",0.5,1.0,real time
69,0,0,20,"wind power, 0.0761, 10, 37 ; wind energy, 0.0468, 12, 16 ; offshore grid, 0.0461, 15, 31 ; offshore wind, 0.0370, 15, 44 ; renewable energy, 0.0268, 9, 12",0.6067,1.0,wind power ; wind energy ; offshore grid ; offshore wind ; renewable energy
70,0,0,1,"rights reserved, 0.6976, 1, 1 ; energy islands, 0.2789, 0, 0",0.6667,1.0,rights reserved ; energy islands
71,0,0,1,"take place, 0.8434, 1, 2 ; energy island, 0.1346, 0, 0",0.6667,1.0,take place ; energy island
72,0,0,2,"feasibility study, 0.3502, 2, 2 ; power grid, 0.3292, 2, 2 ; natural gas, 0.3168, 2, 2",1.0,1.0,feasibility study ; power grid ; natural gas
73,0,0,1,"offshore grid, 0.9843, 1, 1",1.0,1.0,offshore grid
74,0,0,2,"form basis, 0.3737, 1, 1 ; district heating, 0.1995, 1, 2 ; energy island, 0.1483, 2, 2 ; energy park, 0.1321, 1, 1 ; electricity generation, 0.1208, 1, 1",0.6,1.0,form basis ; district heating ; energy island ; energy park ; electricity generation
75,0,0,1,"preliminary study, 0.5206, 1, 1 ; green energy, 0.3081, 0, 0 ; energy island, 0.1464, 1, 1",0.6667,1.0,preliminary study ; green energy ; energy island
76,0,0,3,"grid frequency, 0.3924, 3, 9 ; wind farm, 0.1347, 3, 5 ; power flow, 0.1158, 3, 3 ; hvdc link, 0.0879, 1, 1 ; offshore grid, 0.0437, 2, 2",0.8889,1.0,grid frequency ; wind farm ; power flow ; hvdc link ; offshore grid
77,0,0,1,"data center, 0.4431, 1, 1 ; 42 000, 0.3481, 0, 0 ; offshore grid, 0.1910, 1, 1",0.6667,1.0,data center ; 42 000 ; offshore grid
78,0,0,1,"energy islands, 0.9841, 1, 1",1.0,1.0,energy islands
79,0,0,1,"offshore grid, 0.9843, 1, 4",1.0,1.0,offshore grid
80,0,0,1,"rights reserved, 0.9932, 1, 1",1.0,1.0,rights reserved
81,0,0,2,"long term, 0.3160, 0, 0 ; one year, 0.2019, 1, 2 ; elsevier ltd, 0.1131, 1, 1 ; rights reserved, 0.0998, 1, 1 ; 20 years, 0.0882, 1, 1",0.3333,1.0,long term ; one year ; elsevier ltd ; rights reserved ; 20 years
82,0,0,1,"energy island, 0.9792, 1, 1",1.0,1.0,energy island
83,0,0,1,"energy island, 0.9792, 0, 0",0.0,0.0,energy island
84,0,0,1,"power production, 0.3676, 1, 1 ; energy consumption, 0.3368, 1, 1 ; power system, 0.2872, 1, 1",1.0,1.0,power production ; energy consumption ; power system
85,0,0,3,"energy islands, 0.4211, 0, 0 ; energy island, 0.3125, 1, 1 ; energy system, 0.2234, 1, 1",0.1667,0.0,energy islands ; energy island ; energy system
86,0,0,1,"short time, 0.6141, 1, 1 ; energy islands, 0.3693, 1, 2",1.0,1.0,short time ; energy islands
87,0,0,2,"offshore grid, 0.4843, 1, 1",0.5,1.0,offshore grid
88,0,0,1,"elsevier ltd, 0.4324, 1, 1 ; rights reserved, 0.3893, 1, 1 ; energy islands, 0.1497, 0, 0",0.8333,1.0,elsevier ltd ; rights reserved ; energy islands
