Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,86,5,9.189738,-0.21621644,"north sea, 0.0413, 16, 36 ; offshore wind, 0.0304, 15, 40 ; renewable energy, 0.0271, 12, 16 ; offshore grid, 0.0259, 14, 23 ; offshore grids, 0.0193, 5, 7",0.6058,1.0,north sea ; offshore wind ; renewable energy ; offshore grid ; offshore grids
pro,91,2,8.59968,-1.0647167,"offshore grid, 0.1409, 25, 59 ; north sea, 0.0664, 18, 40 ; cross border, 0.0173, 0, 0 ; transmission system, 0.0171, 6, 8 ; electricity infrastructure, 0.0170, 2, 2",0.4263,1.0,offshore grid ; north sea ; cross border ; transmission system ; electricity infrastructure
pro,95,1,8.846407,-2.0988479,"offshore grid, 0.3726, 1, 1 ; long term, 0.1234, 0, 0 ; elsevier ltd, 0.0737, 1, 1 ; energy projects, 0.0697, 1, 4 ; rights reserved, 0.0640, 1, 1",0.2444,1.0,offshore grid ; long term ; elsevier ltd ; energy projects ; rights reserved
reg,0,2,7.345712,-1.1437064,"paris agreement, 0.0360, 3, 11 ; co2 emissions, 0.0342, 6, 20 ; 000 tonnes, 0.0231, 2, 9 ; energy efficiency, 0.0200, 7, 12 ; district heating, 0.0196, 5, 21",0.3879,1.0,paris agreement ; co2 emissions ; 000 tonnes ; energy efficiency ; district heating
reg,1,27,8.856906,-3.1364195,"wind turbines, 0.0217, 27, 128 ; offshore wind, 0.0201, 31, 299 ; offshore wind turbines, 0.0146, 24, 67 ; bornholm offshore wind, 0.0133, 1, 1 ; danish energy agency, 0.0131, 16, 50",0.6843,1.0,wind turbines ; offshore wind ; offshore wind turbines ; bornholm offshore wind ; danish energy agency
reg,2,9,8.372517,-2.3997355,"north sea, 0.0128, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0114, 29, 143 ; sustainable energy, 0.0111, 2, 4 ; island north sea, 0.0106, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
reg,3,3,7.8152103,-0.8994686,"electricity grid, 0.0286, 8, 37 ; co2 emissions, 0.0253, 2, 5 ; electricity consumption, 0.0236, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0169, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
reg,4,2,7.711317,-1.0622132,"70 percent, 0.0279, 9, 20 ; climate act, 0.0229, 6, 24 ; climate council, 0.0200, 6, 23 ; green power, 0.0185, 11, 29 ; million tonnes, 0.0115, 2, 2",0.4625,1.0,70 percent ; climate act ; climate council ; green power ; million tonnes
reg,6,1,7.115526,-1.0755123,"million tonnes, 0.1113, 4, 15 ; climate council, 0.0763, 3, 14 ; 000 tonnes, 0.0379, 4, 7 ; tonnes co2, 0.0368, 3, 12 ; energy consumption, 0.0225, 1, 4",0.68,1.0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
reg,8,2,7.716199,-2.0818644,"natural gas, 0.0225, 5, 19 ; ptx plants, 0.0153, 5, 9 ; among things, 0.0143, 9, 16 ; electrolysis capacity, 0.0140, 5, 9 ; cip foundation, 0.0135, 1, 10",0.3458,1.0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
