Source,cluster,x,y,topic_name
reg,10,4.4952793,3.12088,electr grid bornholm electr price zone
reg,11,4.0300503,5.0196614,31 billion 20 billion energiø bornholm
reg,0,5.8512735,1.7991048,citizen associ transform station associ energiø
reg,1,7.7822237,3.6573138,high voltag voltag station bornholm museum
reg,0,5.5894213,1.9996805,citizen associ transform station associ energiø
reg,8,4.8486996,5.906353,baltic sea baltic energi baltic energi island
reg,8,4.8651037,6.0986466,baltic sea baltic energi baltic energi island
reg,8,4.974707,6.0773168,baltic sea baltic energi baltic energi island
reg,8,4.669899,5.9259353,baltic sea baltic energi baltic energi island
reg,0,4.894936,3.4356492,citizen associ transform station associ energiø
reg,1,7.08836,3.5611825,high voltag voltag station bornholm museum
reg,7,5.349579,5.5910873,baltic sea north sea possibl establish
reg,2,4.1827044,3.6627522,center bornholm busi center labor market
reg,3,5.6830697,4.4362993,green transit green island realli good
reg,12,5.5348015,1.6978725,cultur ident henrik espersen energiø bornholm
reg,11,3.62901,5.2820477,31 billion 20 billion energiø bornholm
reg,11,3.6626782,5.364766,31 billion 20 billion energiø bornholm
reg,5,7.179407,5.4766545,hydrogen product electrolysi plant green fuel
reg,12,5.0696707,1.4845052,cultur ident henrik espersen energiø bornholm
reg,0,5.579662,5.472149,citizen associ transform station associ energiø
reg,12,5.158017,1.4420177,cultur ident henrik espersen energiø bornholm
reg,14,4.320232,1.9139562,social democraci social democrat ann thoma
reg,11,3.8723855,5.0025406,31 billion 20 billion energiø bornholm
reg,10,6.9230795,4.801368,electr grid bornholm electr price zone
reg,9,5.780416,1.9265354,jacob trøst citizen meet mayor jacob trøst
reg,6,7.5093074,6.728894,offshor wind wind turbin wind farm
reg,6,6.224662,6.625604,offshor wind wind turbin wind farm
reg,1,6.821158,3.1371462,high voltag voltag station bornholm museum
reg,6,7.3367295,7.2669616,offshor wind wind turbin wind farm
reg,10,6.9241295,4.5901,electr grid bornholm electr price zone
reg,10,6.8501563,4.636847,electr grid bornholm electr price zone
reg,2,4.2179756,3.608233,center bornholm busi center labor market
reg,9,5.8018894,1.8360616,jacob trøst citizen meet mayor jacob trøst
reg,3,6.005541,4.5030327,green transit green island realli good
reg,3,4.975596,4.727997,green transit green island realli good
reg,12,4.970148,1.2182506,cultur ident henrik espersen energiø bornholm
reg,1,7.554476,2.2696204,high voltag voltag station bornholm museum
reg,9,5.2498226,2.4124923,jacob trøst citizen meet mayor jacob trøst
reg,8,4.9230947,6.2310095,baltic sea baltic energi baltic energi island
reg,13,3.5015326,2.4125745,social democraci municip council climat plan
reg,1,7.1709332,2.6877437,high voltag voltag station bornholm museum
reg,11,3.82578,5.5783877,31 billion 20 billion energiø bornholm
