Source,cluster,x,y,TF_IDF_topic_name
sci,1,6.151393,2.0405157,"renewable energy, 0.0450, 10, 14 | renewable energy island, 0.0368, 3, 3 | island samsø, 0.0253, 3, 3 | transmission grid, 0.0220, 3, 20 | energy island, 0.0201, 14, 17"
sci,2,4.4303303,2.092255,"offshore wind, 0.0173, 98, 228 | north sea, 0.0131, 71, 125 | offshore grid, 0.0097, 101, 189 | wind farms, 0.0092, 48, 68 | energy security, 0.0089, 8, 17"
sci,2,5.246343,2.2423294,"offshore wind, 0.0173, 98, 228 | north sea, 0.0131, 71, 125 | offshore grid, 0.0097, 101, 189 | wind farms, 0.0092, 48, 68 | energy security, 0.0089, 8, 17"
sci,0,3.858589,6.7395115,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,0,4.7383084,5.894692,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,0,4.9805617,6.729063,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,3,7.30896,3.2545295,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,0,3.5504053,6.248214,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,2,4.534539,2.1569095,"offshore wind, 0.0173, 98, 228 | north sea, 0.0131, 71, 125 | offshore grid, 0.0097, 101, 189 | wind farms, 0.0092, 48, 68 | energy security, 0.0089, 8, 17"
sci,3,8.245478,4.4483886,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,2,4.9711504,1.9342341,"offshore wind, 0.0173, 98, 228 | north sea, 0.0131, 71, 125 | offshore grid, 0.0097, 101, 189 | wind farms, 0.0092, 48, 68 | energy security, 0.0089, 8, 17"
sci,3,7.736637,3.8736951,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,0,3.5673902,5.661506,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,3,6.486286,4.410951,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,3,7.1154776,4.608625,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,2,5.36227,2.2524385,"offshore wind, 0.0173, 98, 228 | north sea, 0.0131, 71, 125 | offshore grid, 0.0097, 101, 189 | wind farms, 0.0092, 48, 68 | energy security, 0.0089, 8, 17"
sci,3,6.9667306,3.0233178,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,3,7.6530633,3.684354,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,1,6.6629786,1.9399077,"renewable energy, 0.0450, 10, 14 | renewable energy island, 0.0368, 3, 3 | island samsø, 0.0253, 3, 3 | transmission grid, 0.0220, 3, 20 | energy island, 0.0201, 14, 17"
sci,3,7.9510875,4.2185483,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,1,6.5251937,1.7805202,"renewable energy, 0.0450, 10, 14 | renewable energy island, 0.0368, 3, 3 | island samsø, 0.0253, 3, 3 | transmission grid, 0.0220, 3, 20 | energy island, 0.0201, 14, 17"
sci,3,8.424897,3.6955583,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,3,8.472018,3.7569985,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,3,7.497691,4.760659,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,2,4.126656,3.8506196,"offshore wind, 0.0173, 98, 228 | north sea, 0.0131, 71, 125 | offshore grid, 0.0097, 101, 189 | wind farms, 0.0092, 48, 68 | energy security, 0.0089, 8, 17"
