Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,0,8.153639,3.4405816,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,3,6.2676334,3.2924523,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,2,5.883297,4.9646378,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,7.5184083,5.322632,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,0,7.3807936,2.0000937,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.9434037,4.3343306,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,2,5.845196,4.843991,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,6.726649,5.5914044,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,1,9.055272,5.616301,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,1,8.990338,5.301589,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,6.2685723,3.5744162,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,6,8.374489,3.864138,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,0,8.042981,3.1903965,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,4,8.782318,2.8054268,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,2,7.3412075,5.5675225,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,7.309531,5.01298,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,6.5815353,5.1772356,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,2,6.4246645,5.402164,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,6,7.613029,3.7993243,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,2,6.971578,5.503023,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,3,5.955818,2.6986623,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,2,6.7912145,4.721791,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,4,9.154857,3.2397702,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,5,6.989161,3.4840865,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,6,7.8675795,5.14899,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,2,6.661576,5.3061223,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,0,7.249926,1.8480545,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.2948394,2.4034703,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,6,7.882529,3.7940419,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,1,9.135387,4.706978,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,5,6.5381427,2.9679515,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,5,6.503476,2.3437214,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,0,7.427082,3.248059,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,1,8.512696,3.878327,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,1,9.134361,4.6692286,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,4,9.677905,4.400917,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,5,8.029952,2.83837,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,3,7.930872,4.689459,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,6,9.492187,4.3873496,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,3,6.102043,4.269187,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,4,9.729866,4.0138106,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,0,6.233537,2.9771008,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,1,9.052695,5.8752127,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,4,9.247153,3.028945,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,0,7.860649,4.138633,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.079339,2.3160362,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,2,7.395703,5.4905887,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
